# Total Pointers Found: 6648
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 4
# Data xref hits: 6648
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
1148B | seg000 | 27C0C | word_27C0C | data_pointer | data_item_size=2
1148F | seg000 | 27C0E | word_27C0E | data_pointer | data_item_size=2
11498 | seg000 | 27C52 | word_27C52 | data_pointer | data_item_size=2
1149E | seg000 | 27C54 | word_27C54 | data_pointer | data_item_size=2
114A4 | seg000 | 27C56 | word_27C56 | data_pointer | data_item_size=2
114AA | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
114B4 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
114B9 | seg000 | 102EF | aSayanaMethodOr | string_pointer | ""SAYANA"  method  or "NRAYANA"  method (S/N) ?"
114D6 | seg000 | 1031E | aN | string_pointer | "N"
114DB | seg000 | 27F18 | unk_27F18 | unknown_pointer | 
114E9 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
114EE | seg000 | 27F18 | unk_27F18 | unknown_pointer | 
11516 | seg000 | 27DEA | byte_27DEA | data_pointer | data_item_size=1
11519 | seg000 | 27DEA | byte_27DEA | data_pointer | data_item_size=1
11520 | seg000 | 27DEA | byte_27DEA | data_pointer | data_item_size=1
11527 | seg000 | 27DEA | byte_27DEA | data_pointer | data_item_size=1
1152E | seg000 | 27DEA | byte_27DEA | data_pointer | data_item_size=1
1153B | seg000 | 27DEA | byte_27DEA | data_pointer | data_item_size=1
11544 | seg000 | 27F18 | unk_27F18 | unknown_pointer | 
11557 | seg000 | 27DEE | word_27DEE | data_pointer | data_item_size=2
1155A | seg000 | 27F12 | word_27F12 | data_pointer | data_item_size=2
1155D | seg000 | 27DF0 | word_27DF0 | data_pointer | data_item_size=2
11560 | seg000 | 27F14 | word_27F14 | data_pointer | data_item_size=2
11563 | seg000 | 27DF2 | word_27DF2 | data_pointer | data_item_size=2
11566 | seg000 | 27F16 | word_27F16 | data_pointer | data_item_size=2
11569 | seg000 | 27DEE | word_27DEE | data_pointer | data_item_size=2
11575 | seg000 | 27DF0 | word_27DF0 | data_pointer | data_item_size=2
11581 | seg000 | 27DF2 | word_27DF2 | data_pointer | data_item_size=2
11592 | seg000 | 27BDA | word_27BDA | data_pointer | data_item_size=2
11595 | seg000 | 27BDC | word_27BDC | data_pointer | data_item_size=2
11599 | seg000 | 27BDE | word_27BDE | data_pointer | data_item_size=2
1159D | seg000 | 27BDA | word_27BDA | data_pointer | data_item_size=2
115A0 | seg000 | 27BDC | word_27BDC | data_pointer | data_item_size=2
115A4 | seg000 | 27BDE | word_27BDE | data_pointer | data_item_size=2
115C3 | seg000 | 27BEC | word_27BEC | data_pointer | data_item_size=2
115C6 | seg000 | 27BEE | word_27BEE | data_pointer | data_item_size=2
115CA | seg000 | 27BF0 | word_27BF0 | data_pointer | data_item_size=2
115D7 | seg000 | 27BEC | word_27BEC | data_pointer | data_item_size=2
115DB | seg000 | 27BEE | word_27BEE | data_pointer | data_item_size=2
115DF | seg000 | 27BF0 | word_27BF0 | data_pointer | data_item_size=2
115E8 | seg000 | 27BEC | word_27BEC | data_pointer | data_item_size=2
115EC | seg000 | 27BEE | word_27BEE | data_pointer | data_item_size=2
115F0 | seg000 | 27BF0 | word_27BF0 | data_pointer | data_item_size=2
115F9 | seg000 | 27BEC | word_27BEC | data_pointer | data_item_size=2
115FD | seg000 | 27BEE | word_27BEE | data_pointer | data_item_size=2
11601 | seg000 | 27BF0 | word_27BF0 | data_pointer | data_item_size=2
11616 | seg000 | 27BEC | word_27BEC | data_pointer | data_item_size=2
1161A | seg000 | 27BEE | word_27BEE | data_pointer | data_item_size=2
1161E | seg000 | 27BF0 | word_27BF0 | data_pointer | data_item_size=2
11627 | seg000 | 27BEC | word_27BEC | data_pointer | data_item_size=2
1162B | seg000 | 27BEE | word_27BEE | data_pointer | data_item_size=2
1162F | seg000 | 27BF0 | word_27BF0 | data_pointer | data_item_size=2
11644 | seg000 | 27BEC | word_27BEC | data_pointer | data_item_size=2
11648 | seg000 | 27BEE | word_27BEE | data_pointer | data_item_size=2
1164C | seg000 | 27BF0 | word_27BF0 | data_pointer | data_item_size=2
11673 | seg000 | 27BF2 | word_27BF2 | data_pointer | data_item_size=2
11676 | seg000 | 27BF4 | word_27BF4 | data_pointer | data_item_size=2
1167A | seg000 | 27BF6 | word_27BF6 | data_pointer | data_item_size=2
1167E | seg000 | 27BF2 | word_27BF2 | data_pointer | data_item_size=2
11681 | seg000 | 27BF4 | word_27BF4 | data_pointer | data_item_size=2
11685 | seg000 | 27BF6 | word_27BF6 | data_pointer | data_item_size=2
116AB | seg000 | 27BF2 | word_27BF2 | data_pointer | data_item_size=2
116AE | seg000 | 27BF4 | word_27BF4 | data_pointer | data_item_size=2
116B2 | seg000 | 27BF6 | word_27BF6 | data_pointer | data_item_size=2
